new-clean-winemag-data-130k-v2,,,,,,,,,,,,,
id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
89,Italy,"Made primarily from Sangiovese, with some Malvasia and other white grapes, this offers aromas of red berry and a yeasty whiff of bread dough. The bright, enjoyable palate offers ripe cherry and hint of pastry cream while a note of honeydew melon marks the close.",,88,19,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,Fattoria Sardi 2015 Rosato,Rosato,Fattoria Sardi
90,United States,"This blend of Sangiovese, Malbec, Cabernet Sauvignon, Petite Sirah and other varieties plays well to type. It shows a wealth of ripe, dusty black fruit that's richly round and soft on the palate, approachable and lightly oaked.",Siena,88,23,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Ferrari-carano 2014 Siena Red,Red Blend,Ferrari-carano
91,United States,"This wine has a touch of perceptible sweetness on its tropical nose, yet tastes dry, showing a straightforward approach to this crisp, coastal-grown variety. Apricot, melon and guava wrap around a lightness of body and texture.",,88,18,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Folie À Deux 2015 Pinot Gris,Pinot Gris,Folie À Deux
92,United States,"All red Bordeaux varieties are represented in this blend, except for Petit Verdot. Together, they offer a simple tannic structure that strengthens a chewiness of leather, tobacco and a touch of cedar. Full bodied, it's a ripe, bold and brawny wine.",Magnificat,88,55,California,Napa Valley,Napa,Virginie Boone,@vboone,Franciscan 2013 Magnificat Meritage,Meritage,Franciscan
93,Austria,"Freshness characterizes the nose: green pear, ivy leaves and citrus notes play on nose and palate. This is light footed, easy drinking and charming. Drink soon while flavors are fresh.",,88,12,Burgenland,,,Anne Krebiehl,@anneinvino,Fuchs 2015 Grüner Veltliner,Grüner Veltliner,Fuchs
94,United States,"Barrel notes are prominent, with aromas of Creamsicle and baking spice. The palate is broad and dry with stone-fruit and barrel flavors. It provides intrigue but the wood seems to get in the way at times.",Grand Klasse Reserve Lawrence Vineyard,88,22,Washington,Columbia Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Gård 2014 Grand Klasse Reserve Lawrence Vineyards Viognier,Viognier,Gård
95,France,"This is a dense wine, packed with both tannins and acidity. It brings out the ageworthiness of this appellation with its rich potential and dark mineral texture. Drink this concentrated cru wine from 2018.",,88,20,Beaujolais,Juliénas,,Roger Voss,@vossroger,Henry Fessy 2015 Juliénas,Gamay,Henry Fessy
96,France,"The wine comes from one of the cru estates followed by this negociant house. It is a light, ripe and fruity wine. With its attractive red-berry flavors, finished with crisp acidity, it is accessible and ready to drink.",,88,18,Beaujolais,Régnié,,Roger Voss,@vossroger,Henry Fessy 2015 Régnié,Gamay,Henry Fessy
97,United States,A wisp of bramble extends a savory tone from nose to finish on this otherwise bright bristling wine. Delicate honey tones register as off dry on the palate but balance neatly alongside flavors of freshly pressed apples and pears. The finish is marked by a touch of pencil lead. Drink now through 2020.,Ingle Vineyard,88,20,New York,Finger Lakes,,Anna Lee C. Iijima,,Heron Hill 2015 Ingle Vineyard Riesling,Riesling,Heron Hill
98,Italy,"Forest floor, menthol, espresso, cranberry and pressed violet aromas take shape in the glass. The lean linear palate shows dried sour cherry, licorice and coffee bean alongside assertive close-grained tannins. Even though the tannins are still firm, drink sooner rather than later to capture the remaining fruit.",Dono Riserva,88,30,Tuscany,Morellino Di Scansano,,Kerin O'keefe,@kerinokeefe,Serpaia Di Endrizzi 2010 Dono Riserva,Sangiovese,Serpaia Di Endrizzi
99,United States,"This blends 20% each of all five red-Bordeaux varieties, showing grapy, plummy flavor that's juicy and soft on the palate. With a core of tobacco, tar and graphite, it complements the fruity with the savory, ending simply and elegantly.",Intreccio Library Selection,88,75,California,Napa Valley,Napa,Virginie Boone,@vboone,Soquel Vineyards 2013 Intreccio Library Selection Red,Bordeaux-style Red Blend,Soquel Vineyards
100,United States,"Fresh apple, lemon and pear flavors are accented by a hint of smoked nuts in this bold, full-bodied Pinot Gris. Rich and a bit creamy in mouthfeel yet balanced briskly, it's a satisfying white with wide pairing appeal. Drink now through 2019.",,88,18,New York,Finger Lakes,,Anna Lee C. Iijima,,Ventosa 2015 Pinot Gris,Pinot Gris,Ventosa
101,United States,"Dusty mineral, smoke and struck flint lend a savory tone to this lean light-bodied Riesling. Off dry in style, the palate offers delicately concentrated flavors of red apple and nectarine off set by tangerine acidity. Drink now through 2021.",Red Oak Vineyard,87,20,New York,Finger Lakes,,Anna Lee C. Iijima,,Lamoreaux Landing 2014 Red Oak Vineyard Riesling,Riesling,Lamoreaux Landing
102,United States,Intensely smoky tones of struck flint and ash extend throughout this otherwise bright nimble Riesling. The palate boasts freshly pressed apple and pear flavors accentuated by zippy lemon-lime acidity. Drink now through 2021.,Yellow Dog Vineyard,87,20,New York,Finger Lakes,,Anna Lee C. Iijima,,Lamoreaux Landing 2014 Yellow Dog Vineyard Riesling,Riesling,Lamoreaux Landing
103,Chile,"A bright nose with green apple and citric aromas comes with mild oak. This is acidic and racy in composition, with roundness along the edges of the palate. Apple and nectarine flavors are lightly oaked and salty, while this holds form on a high-acid finish.",Single Vineyard Falaris Hill,87,18,Leyda Valley,,,Michael Schachner,@wineschach,Leyda 2015 Single Vineyard Falaris Hill Chardonnay,Chardonnay,Leyda
104,Italy,"Made with 65% Sangiovese, 20% Merlot and 15% Cabernet Sauvignon, this has subtle aromas of black-skinned fruit and thyme. The easygoing palate delivers black cherry and cinnamon alongside smooth tannins.",Nativo,87,16,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,Madonna Alta 2014 Nativo Red,Red Blend,Madonna Alta
105,Italy,"Made predominantly with Trebbiano and Malvasia, along with Pinot Bianco, Pinot Grigio and Riesling Renano, this has inviting aromas of ripe orchard fruit and citrus. The round fruity palate doles out ripe apricot, orange zest and juicy pineapple.",Villa Antinori,87,14,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,Marchesi Antinori 2015 Villa Antinori White,White Blend,Marchesi Antinori
106,Italy,"A blend of Cabernet Sauvignon, Merlot, Cabernet Franc and Sangiovese, this pleasant red has aromas of dark-skinned fruit, toast and a whiff of espresso. The light-bodied, straightforward palate offers cherry, red currant and a hint of light spice alongside zesty acidity and polished tannins.",Castiglioni,87,30,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,Marchesi De' Frescobaldi 2014 Castiglioni Red,Red Blend,Marchesi De' Frescobaldi
107,Italy,"Aromas of yellow stone fruit, white spring flower and a whiff of citrus lift out of the glass. The soft round palate offers ripe apricot, yellow peach and a hint of candied nectarine zest.",Ammiraglia Massovivo,87,18,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,Marchesi De' Frescobaldi 2015 Ammiraglia Massovivo Vermentino,Vermentino,Marchesi De' Frescobaldi
108,United States,"Lots of spearmint, coyote mint, hot licorice, ginger snaps and Dr Pepper spice up the strawberry fruit of this wine that provides a very herbal take on the grape. Oregano, marjoram, thyme and dill all make a showing on the sip, against a backbone of sweet cherry and blackberry fruit, finishing on cedar.",J.D. Hurley,87,26,California,Santa Clara Valley,Central Coast,Matt Kettmann,@mattkettmann,Martin Ranch 2014 J.D. Hurley Zinfandel,Zinfandel,Martin Ranch
109,Italy,"An easy-drinking blend of Merlot, Sangiovese and Cabernet Sauvignon, this opens with aromas of red berry, toast, herb and roasted coffee bean. The soft palate offers black cherry, mocha and a hint of coffee alongside bright acidity and silky tannins. Drink now.",Le Volte,87,30,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,Ornellaia 2014 Le Volte Red,Red Blend,Ornellaia
110,France,"Produced from cru vines at the base of Mount Brouilly, the wine has structure as well as ripe black-plum fruits. It is generous and its fruit is well balanced by acidity and solid tannins. The wines is ready to drink.",Les Quartelets,87,23,Beaujolais,Brouilly,,Roger Voss,@vossroger,Pardon Et Fils 2015 Les Quartelets,Gamay,Pardon Et Fils
111,United States,"This 100% varietal wine opens in a heady aroma of leather pouch, clove and marshmallow. Both herbaceous and tannic, it begs for more time in the bottle or substantial swirling in the glass.",Wolff Vineyard,87,85,California,Yountville,Napa,Virginie Boone,@vboone,Piña 2013 Wolff Vineyard Cabernet Sauvignon,Cabernet Sauvignon,Piña
112,Italy,"Made with 90% Merlot and 10% Alicante, this easygoing red opens with delicate aromas suggesting red currant and baking spice. The straightforward palate delivers red plum and clove alongside soft tannins. Enjoy soon.",Semifonte,87,15,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,Podere Ciona 2014 Semifonte Red,Red Blend,Podere Ciona
113,Italy,"Made with Vermentino, Malvasia di Candia Aromatica and Petit Manseng, this easy-drinking white has aromas of fragrant white wild flower, citrus and white stone fruit. The ripe round palate offers apricot, lime and a hint of saline.",Poetico,87,19,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,Poggioventoso 2015 Poetico White,White Blend,Poggioventoso
114,United States,"Tar, dried meat, olallieberry and sharp cedar aromas show on this blend of 51% Cabernet Sauvignon and 49% Merlot. Dried strawberries and plums mix with thyme and dried rose petals on the palate.",Bdx,87,18,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pull 2012 Bdx Red,Bordeaux-style Red Blend,Pull
115,United States,"Poached pears, yellow apples and a touch of butter show on the classic nose of this Chardonnay that holds to steely frame. Very sharp acidity kicks off the sip, where Pink Lady apples and warm vanilla surround a tight minerality. It's both sharp and slightly sweet.",,87,18,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Pull 2013 Chardonnay,Chardonnay,Pull
116,United States,"The distinctive nose on this bottling is tight yet tropical, with mango, pineapple, pear skins, orange rinds, dried lime peels and a gin-like juniper all converging. The palate offers a balance between tightly woven texture and ripe tropicality, with lime rinds, mango and petrol touches.",Camp 4 Vineyard,87,25,California,Santa Ynez Valley,Central Coast,Matt Kettmann,@mattkettmann,R2 2013 Camp 4 Vineyard Grenache Blanc,Grenache Blanc,R2
117,United States,"Baked red cherry, crushed clove, iron and rose petals make for standard aromas on this bottling, although they are fairly light and simple here. There is a sizzle of acitity on the palate, where juicy strawberry and olallieberry flavors are easy to enjoy, made more complex by graphite and cedar touches.",Estate,87,44,California,Central Coast,,Matt Kettmann,@mattkettmann,Rideau 2014 Estate Syrah,Syrah,Rideau
118,Italy,"A blend of 50% Cabernet Sauvignon, 30% Merlot and 20% Sangiovese, this offers aromas of black currant, caramel and mocha. The dense palate delivers toast, leather and cedar alongside teeth-coating tannins that grip the finish.",Toscano,87,80,Tuscany,Tuscany,,Kerin O'keefe,@kerinokeefe,Tenuta Forconi 2013 Toscano Red,Red Blend,Tenuta Forconi
119,France,"Medium-gold in color. Complex and inviting nose layered with a strong earthy minerality, vibrant bright fruit and intriguing notes of petrol and honey. On the palate it is racy, taut and focused full of well defined ripe succulent citrus and stone fruit. Rich, viscous texture perfectly balanced by the wine's crispness and almost steely minerality. Very long, juicy, lingering finish.",Schoenenbourg Grand Cru Vendanges Tardives,92,80,Alsace,Alsace,,,,Dopff & Irion 2004 Schoenenbourg Grand Cru Vendanges Tardives Riesling,Riesling,Dopff & Irion
120,Italy,"Slightly backward, particularly given the vintage, the wine has a complex nose with plenty of dark fruit, Turkish delight, smoked meat and earth. A full rich palate, slightly soft, it begins to run out of steam a little in mid palate, but returns with a flourish, and the finish is long and nuanced. Will repay 5+ years of cellaring.",Bricco Rocche Prapó,92,70,Piedmont,Barolo,,,,Ceretto 2003 Bricco Rocche Prapó,Nebbiolo,Ceretto
121,United States,"The vineyard is one of the better Chardonnay sources in Alexander Valley, and in this fine vintage it lends ripe pineapple, pear, Key lime pie and Mandarin orange flavors to the wine. Lots of toasty new oak adds buttered toast and vanilla, but the wood influence is in balance. Classic Burgundian-style California Chardonnay, rich and opulent.",Stuhlmuller Vineyard,92,36,California,Alexander Valley,Sonoma,,,Matrix 2007 Stuhlmuller Vineyard Chardonnay,Chardonnay,Matrix
122,United States,"Defines Rockpile Zinfandel in intensity of fruit and high alcohol which is in keeping with the volume. There are few red wines in the world like this. It's fully dry, with potent flavors of baked blackberries, blackcurrants, cola and peppery spices, and the tannins are huge, but negotiable. Demands the richest grilled meats and cheeses.",Rockpile Cemetary Vineyard,92,39,California,Rockpile,Sonoma,,,Mauritson 2007 Rockpile Cemetary Vineyard Zinfandel,Zinfandel,Mauritson
123,Australia,"The blend is roughly two-thirds Shiraz and one-third Cabernet, and the result combines berries with cassis and generosity with structure, all framed by toasty oak. Savory in character, long and dusty on the finish. Drink now-2018.",Parson's Flat,92,40,South Australia,Padthaway,,Joe Czerwinski,@joecz,Henry's Drive Vignerons 2006 Parson's Flat Shiraz-cabernet Sauvignon,Shiraz-cabernet Sauvignon,Henry's Drive Vignerons
124,United States,"This sophisticated wine is mostly Cabernet Sauvignon, which accounts for the firm tannins and dense structure as well as most of the blackberries and blackcurrants. Smaller amounts of Merlot and Cabernet Franc add cherries and violets, while oak contributes smoky complexities. Rich and elegant, the wine provides lovely drinking now.",,92,45,California,Napa Valley,Napa,,,Silverado 2006 Cabernet Sauvignon,Cabernet Sauvignon,Silverado
